Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
ARE1,ARE1_4,,un accidente [de] hace unos diez años,,,de,
ARE1,ARE1_4,,aquel señor (estaba) [iba] en silla de ruedas,estaba,,iba,
ARE1,ARE1_4,,finalmente el vehículo se logró (mantener) [detener] en un cruce cerca del Pont de Levallois,mantener,,detener,
ARE1,ARE1_4,,razón por la cual el coche (estaba) [iba] de camino al hospital,estaba,,iba,
ARE1,ARE1_4,,resulta que la imagen que produjo el aparato (le) [les] llamó a atención,le,,les,
ARE1,ARE1_4,,(Paris) [París],Paris,,París,
ARE1,ARE1_4,,se había (pasado) [saltado] varios semáforos en rojo,pasado,,saltado,
ARE1,ARE1_4,,se había saltado varios semáforos (rojos) [en rojo],rojos,,en rojo,
ARE1,ARE1_4,,que causó [un gran] desorden el jueves por la tarde,,,un gran,
ARE1,ARE1_4,,(conduciendo a) [a una velocidad de] unos 200 km/h,conduciendo a,,a una velocidad de,
ARE1,ARE1_4,,testigos oculares aseguran que (se) serpenteaba por una caravana de coches,se,,,
ARE1,ARE1_4,,a unos (de los) empleados en vigilancia,de los,,,
ARE1,ARE1_4,,(el) [la] imagen en infrarrojo mostraba a dos personas,el,,la,
ARE1,ARE1_4,,la (esbelta) [nítida] silueta de una silla de ruedas,esbelta,,nítida,
ARE1,ARE1_4,,"(al) [en el] momento de acercarse al coche, el conductor salió voluntariamente",al,,en el,
ARE1,ARE1_4,,con las manos [en alto] señalando su inocencia,,,en alto,
ARE1,ARE1_4,,por una parálisis (que fue) resultado de un accidente,que fue,,,
